MARCA_VEHICULO;MODELO_VEHICULO;TIPO_VEHICULO;EDAD_VEHICULO;FECHA_ACCIDENTE;GRAVEDAD_ACCIDENTE
HYUNDAI;2018;AUTOMOVIL;8;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
FORD;1993;CAMIONETA;32;12/2024;CON HERIDOS
VICTORY;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
HYUNDAI;2014;AUTOMOVIL;12;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
HYUNDAI;2006;AUTOMOVIL;20;12/2024;CON HERIDOS
FOTON;2018;CAMIONETA;8;12/2024;CON HERIDOS
BMW;2021;AUTOMOVIL;5;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
HYUNDAI;2006;AUTOMOVIL;21;12/2024;CON HERIDOS
FORD;1981;CAMION;45;12/2024;CON HERIDOS
HYUNDAI;2009;CAMIONETA;17;12/2024;CON HERIDOS
KIA;2023;AUTOMOVIL;4;12/2024;CON HERIDOS
KIA;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
KIA;2023;AUTOMOVIL;3;12/2024;CON HERIDOS
HYUNDAI;2002;AUTOMOVIL;25;12/2024;CON HERIDOS
KIA;2019;CAMIONETA;7;12/2024;CON HERIDOS
FORD;2013;CAMIONETA;13;12/2024;CON HERIDOS
HYUNDAI;2005;AUTOMOVIL;21;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
KIA;2017;CAMIONETA;8;12/2024;CON HERIDOS
HYUNDAI;2012;AUTOMOVIL;14;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
KIA;2018;AUTOMOVIL;8;12/2024;CON HERIDOS
VICTORY;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
HAFEI;2009;CAMIONETA;18;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
VICTORY;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
PEUGEOT;2020;CAMIONETA;7;12/2024;CON HERIDOS
FORD;1995;AUTOMOVIL;18;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;8;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
KIA;2019;AUTOMOVIL;7;12/2024;CON HERIDOS
FOTON;2023;CAMION;2;12/2024;CON HERIDOS
HYUNDAI;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
FORD;2012;CAMIONETA;13;12/2024;CON HERIDOS
HYUNDAI;2023;AUTOMOVIL;2;12/2024;CON HERIDOS
HYUNDAI;2023;AUTOMOVIL;3;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
SYM;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
HYUNDAI;2006;AUTOMOVIL;20;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;1;12/2024;CON HERIDOS
HYUNDAI;2009;AUTOMOVIL;18;12/2024;CON HERIDOS
KIA;2025;CAMIONETA;1;12/2024;CON HERIDOS
HYUNDAI;2018;AUTOMOVIL;7;12/2024;CON HERIDOS
FORD;2022;CAMIONETA;3;12/2024;CON HERIDOS
HYUNDAI;2007;AUTOMOVIL;19;12/2024;CON HERIDOS
HYUNDAI;2007;AUTOMOVIL;19;12/2024;CON HERIDOS
KIA;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
HYUNDAI;2016;AUTOMOVIL;11;12/2024;CON HERIDOS
FORD;2013;CAMIONETA;12;12/2024;CON HERIDOS
COMBAT;2021;MOTOCICLETA;4;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
BMW;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
FOTON;2016;CAMION;10;12/2024;CON HERIDOS
FORD;2007;AUTOMOVIL;18;12/2024;CON HERIDOS
HYUNDAI;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
HYUNDAI;2013;AUTOMOVIL;12;12/2024;CON HERIDOS
BMW;2016;AUTOMOVIL;10;12/2024;CON HERIDOS
HYUNDAI;2011;CAMIONETA;16;12/2024;CON HERIDOS
FORD;2013;CAMPERO;13;12/2024;CON HERIDOS
BMW;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
FORD;1956;VOLQUETA;54;12/2024;CON HERIDOS
HYUNDAI;2019;AUTOMOVIL;7;12/2024;CON HERIDOS
KIA;2014;AUTOMOVIL;3;12/2024;CON HERIDOS
HYUNDAI;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
HYUNDAI;2019;AUTOMOVIL;7;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
FORD;2020;CAMIONETA;6;12/2024;CON HERIDOS
HYUNDAI;2017;CAMIONETA;10;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
VICTORY;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
KIA;2021;AUTOMOVIL;5;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
VICTORY;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
HYUNDAI;1994;MICROBUS;31;12/2024;CON HERIDOS
HYUNDAI;2009;AUTOMOVIL;18;12/2024;CON HERIDOS
FOTON;2016;CAMION;10;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
VICTORY;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
KIA;2016;AUTOMOVIL;9;12/2024;CON HERIDOS
BMW;2019;AUTOMOVIL;7;12/2024;CON HERIDOS
KIA;2011;AUTOMOVIL;16;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
KIA;2014;AUTOMOVIL;12;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
FORD;2010;CAMIONETA;16;12/2024;CON HERIDOS
KIA;2009;AUTOMOVIL;16;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
HYUNDAI;2007;AUTOMOVIL;19;12/2024;CON HERIDOS
HYUNDAI;2012;AUTOMOVIL;14;12/2024;CON HERIDOS
KIA;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
HYUNDAI;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
HYUNDAI;2018;AUTOMOVIL;8;12/2024;CON HERIDOS
FORD;2022;CAMIONETA;5;12/2024;CON HERIDOS
HYUNDAI;2016;AUTOMOVIL;11;12/2024;CON HERIDOS
HYUNDAI;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
KIA;2024;AUTOMOVIL;2;12/2024;CON HERIDOS
BMW;2008;AUTOMOVIL;19;12/2024;CON HERIDOS
FORD;2008;CAMPERO;18;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
HYUNDAI;2016;AUTOMOVIL;10;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
HYUNDAI;2004;AUTOMOVIL;22;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
HYUNDAI;2014;AUTOMOVIL;11;12/2024;CON HERIDOS
KIA;2014;AUTOMOVIL;12;12/2024;CON HERIDOS
LIFAN;2008;AUTOMOVIL;22;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
KIA;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
BMW;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
KIA;2021;AUTOMOVIL;5;12/2024;CON HERIDOS
SUBARU;1998;CAMPERO;28;12/2024;CON HERIDOS
VICTORY;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
HYUNDAI;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
HYUNDAI;2009;AUTOMOVIL;17;12/2024;CON HERIDOS
KIA;2016;AUTOMOVIL;10;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;17;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
HYUNDAI;2005;AUTOMOVIL;21;12/2024;CON HERIDOS
HYUNDAI;2014;BUSETA;12;12/2024;CON HERIDOS
FOTON;2015;CAMIONETA;11;12/2024;CON HERIDOS
KIA;2020;AUTOMOVIL;7;12/2024;CON HERIDOS
HYUNDAI;2016;AUTOMOVIL;10;12/2024;CON HERIDOS
FORD;2019;CAMIONETA;7;12/2024;CON HERIDOS
HYUNDAI;2007;AUTOMOVIL;19;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
KIA;2003;AUTOMOVIL;23;12/2024;CON HERIDOS
VICTORY;2022;MOTOCICLETA;3;12/2024;CON HERIDOS
HYUNDAI;2012;AUTOMOVIL;14;12/2024;CON HERIDOS
FORD;1980;CAMIONETA;32;12/2024;CON HERIDOS
FORD;2015;AUTOMOVIL;10;12/2024;CON HERIDOS
KIA;2014;AUTOMOVIL;12;12/2024;CON HERIDOS
VICTORY;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
BMW;2015;CAMPERO;11;12/2024;CON HERIDOS
KIA;2025;AUTOMOVIL;2;12/2024;CON HERIDOS
HYUNDAI;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
FOTON;2023;CAMION;3;12/2024;CON HERIDOS
HYUNDAI;2021;AUTOMOVIL;4;12/2024;CON HERIDOS
KIA;2019;CAMIONETA;7;12/2024;CON HERIDOS
KIA;2023;AUTOMOVIL;3;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
HYUNDAI;2009;AUTOMOVIL;17;12/2024;CON HERIDOS
BMW;2013;MOTOCICLETA;12;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
HYUNDAI;2012;AUTOMOVIL;14;12/2024;CON HERIDOS
SYM;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
UM;2017;MOTOCICLETA;7;12/2024;CON HERIDOS
HYUNDAI;1998;AUTOMOVIL;27;12/2024;CON HERIDOS
FORD;2008;CAMPERO;17;12/2024;CON HERIDOS
HYUNDAI;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
KIA;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
VICTORY;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
KIA;2022;AUTOMOVIL;4;12/2024;CON HERIDOS
FORD;2010;CAMPERO;15;12/2024;CON HERIDOS
BMW;2019;MOTOCICLETA;6;12/2024;CON HERIDOS
KIA;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
FORD;2007;CAMION;19;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
HYUNDAI;2013;AUTOMOVIL;14;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
FORD;1979;CAMIONETA;25;12/2024;CON HERIDOS
HYUNDAI;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
HYUNDAI;2012;AUTOMOVIL;14;12/2024;CON HERIDOS
FORD;1978;CAMIONETA;34;12/2024;CON HERIDOS
HYUNDAI;2013;CAMPERO;13;12/2024;CON HERIDOS
FORD;1976;VOLQUETA;28;12/2024;CON HERIDOS
HYUNDAI;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
KIA;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
FORD;1993;CAMPERO;21;12/2024;CON HERIDOS
HYUNDAI;2009;AUTOMOVIL;17;12/2024;CON HERIDOS
HYUNDAI;2010;CAMION;16;12/2024;CON HERIDOS
HYUNDAI;2019;AUTOMOVIL;7;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
HYUNDAI;2016;AUTOMOVIL;10;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;19;12/2024;CON HERIDOS
VICTORY;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
HYUNDAI;2014;MICROBUS;12;12/2024;CON HERIDOS
KIA;2022;AUTOMOVIL;4;12/2024;CON HERIDOS
HYUNDAI;2024;AUTOMOVIL;3;12/2024;CON HERIDOS
HYUNDAI;2014;AUTOMOVIL;12;12/2024;CON HERIDOS
VICTORY;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
KIA;2022;AUTOMOVIL;4;12/2024;CON HERIDOS
VICTORY;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
SUZUKI;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
SUZUKI;2015;MOTOCICLETA;11;12/2024;CON HERIDOS
SUZUKI;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
KENWORTH;2007;TRACTOCAMION;19;12/2024;CON HERIDOS
HERO;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
TVS;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
TVS;2014;MOTOCICLETA;12;12/2024;CON HERIDOS
SUZUKI;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
TVS;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
SUZUKI;2014;MOTOCICLETA;12;12/2024;CON HERIDOS
SUZUKI;2012;MOTOCICLETA;14;12/2024;CON HERIDOS
HERO;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
SUZUKI;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
BYD;2021;BUS;5;12/2024;CON HERIDOS
TVS;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
TVS;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
KYMCO;2018;MOTOCICLETA;9;12/2024;CON HERIDOS
SUZUKI;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
VOLKSWAGEN;2014;AUTOMOVIL;12;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
VOLVO;2014;BUS;12;12/2024;CON HERIDOS
SUZUKI;2020;MOTOCICLETA;6;12/2024;CON HERIDOS
SUZUKI;2016;AUTOMOVIL;10;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
TVS;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
SUZUKI;2016;CAMIONETA;10;12/2024;CON HERIDOS
SUZUKI;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
TVS;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
THOMAS BUILT BUSES;2014;BUS;12;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
HERO;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
HERO;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
TVS;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
HERO;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
AGRALE;2014;BUS;12;12/2024;CON HERIDOS
VOLVO;2012;BUS;13;12/2024;CON HERIDOS
VOLVO;2020;BUS;7;12/2024;CON HERIDOS
HERO;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
VOLVO;2021;BUS;6;12/2024;CON HERIDOS
TVS;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
TVS;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
KYMCO;2016;MOTOCICLETA;11;12/2024;CON HERIDOS
VOLVO;2015;BUS;10;12/2024;CON HERIDOS
SUZUKI;2017;MOTOCICLETA;9;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
TVS;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
SUZUKI;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
TVS;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
MITSUBISHI;2008;CAMIONETA;17;12/2024;CON HERIDOS
VOLVO;2014;BUS;11;12/2024;CON HERIDOS
VOLVO;2014;BUS;11;12/2024;CON HERIDOS
TVS;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
HERO;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
HERO;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
TVS;2019;MOTOCICLETA;7;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
JAC;2018;CAMIONETA;8;12/2024;CON HERIDOS
DODGE;1968;CAMION;58;12/2024;CON HERIDOS
TVS;2020;MOTOCICLETA;6;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
TVS;2020;MOTOCICLETA;6;12/2024;CON HERIDOS
VOLVO;2014;BUS;11;12/2024;CON HERIDOS
TVS;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
TVS;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
SUZUKI;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
SUZUKI;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
AGRALE;2015;BUS;11;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
VOLVO;2012;BUS;14;12/2024;CON HERIDOS
DODGE;2012;CAMIONETA;14;12/2024;CON HERIDOS
VOLVO;2021;BUS;6;12/2024;CON HERIDOS
VOLKSWAGEN;2021;BUS;4;12/2024;CON HERIDOS
HERO;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
SUZUKI;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
KYMCO;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
HERO;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
HERO;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
SUZUKI;2024;CAMIONETA;2;12/2024;CON HERIDOS
KYMCO;2017;MOTOCICLETA;8;12/2024;CON HERIDOS
HERO;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
TVS;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
ALFA ROMEO;1975;AUTOMOVIL;51;12/2024;CON HERIDOS
AGRALE;2014;BUS;12;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
VOLVO;2021;BUS;5;12/2024;CON HERIDOS
KENWORTH;2012;TRACTOCAMION;15;12/2024;CON HERIDOS
VOLVO;2015;BUS;11;12/2024;CON HERIDOS
HERO;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
SUZUKI;2019;MOTOCICLETA;7;12/2024;CON HERIDOS
TVS;2017;MOTOCICLETA;10;12/2024;CON HERIDOS
KYMCO;2017;MOTOCICLETA;9;12/2024;CON HERIDOS
TVS;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
HERO;2021;MOTOCICLETA;6;12/2024;CON HERIDOS
MITSUBISHI;1994;MICROBUS;28;12/2024;CON HERIDOS
SUZUKI;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
VOLVO;2015;BUS;11;12/2024;CON HERIDOS
SUZUKI;1999;MOTOCICLETA;23;12/2024;CON HERIDOS
SUZUKI;2011;CAMPERO;15;12/2024;CON HERIDOS
VOLVO;2020;BUS;7;12/2024;CON HERIDOS
TVS;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
JAC;2017;CAMIONETA;9;12/2024;CON HERIDOS
BYD;2021;BUS;5;12/2024;CON HERIDOS
HERO;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
TVS;2017;MOTOCICLETA;9;12/2024;CON HERIDOS
BYD;2021;BUS;5;12/2024;CON HERIDOS
HERO;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
TVS;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
TVS;2020;MOTOCICLETA;6;12/2024;CON HERIDOS
MITSUBISHI;2016;CAMPERO;9;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
KAWASAKI;2022;MOTOCICLETA;3;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
AGRALE;2014;BUS;12;12/2024;CON HERIDOS
HERO;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
VOLVO;2020;BUS;7;12/2024;CON HERIDOS
TVS;2020;MOTOCICLETA;6;12/2024;CON HERIDOS
SUZUKI;2016;MOTOCICLETA;10;12/2024;CON HERIDOS
AGRALE;2019;BUS;6;12/2024;CON HERIDOS
TVS;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
DODGE;2013;CAMIONETA;13;12/2024;CON HERIDOS
KENWORTH;1998;TRACTOCAMION;28;12/2024;CON HERIDOS
AGRALE;2014;BUS;12;12/2024;CON HERIDOS
MITSUBISHI;2004;MICROBUS;22;12/2024;CON HERIDOS
KENWORTH;2013;TRACTOCAMION;13;12/2024;CON HERIDOS
SUZUKI;2005;MOTOCICLETA;20;12/2024;CON HERIDOS
SUZUKI;2023;CAMIONETA;4;12/2024;CON HERIDOS
TVS;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
TVS;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
TVS;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
VOLVO;2012;BUS;14;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
DODGE;2012;CAMIONETA;13;12/2024;CON HERIDOS
JAC;2014;AUTOMOVIL;12;12/2024;CON HERIDOS
SUZUKI;2010;MOTOCICLETA;16;12/2024;CON HERIDOS
SUZUKI;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
VOLVO;2015;BUS;10;12/2024;CON HERIDOS
SUZUKI;2016;MOTOCICLETA;10;12/2024;CON HERIDOS
MITSUBISHI;2003;CAMION;23;12/2024;CON HERIDOS
TVS;2017;MOTOCICLETA;9;12/2024;CON HERIDOS
SUZUKI;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
BYD;2022;BUS;4;12/2024;CON HERIDOS
TVS;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
TVS;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;3;12/2024;CON HERIDOS
DAIHATSU;2007;CAMPERO;19;12/2024;CON HERIDOS
SUZUKI;2019;MOTOCICLETA;7;12/2024;CON HERIDOS
SUZUKI;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
SUZUKI;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
VOLKSWAGEN;2020;AUTOMOVIL;5;12/2024;CON HERIDOS
KENWORTH;2013;TRACTOCAMION;14;12/2024;CON HERIDOS
VOLVO;2013;BUS;12;12/2024;CON HERIDOS
VOLKSWAGEN;2021;AUTOMOVIL;5;12/2024;CON HERIDOS
TVS;2025;MOTOCICLETA;1;12/2024;CON HERIDOS
SUZUKI;2022;MOTOCICLETA;5;12/2024;CON HERIDOS
VOLVO;2021;BUS;5;12/2024;CON HERIDOS
HERO;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
HERO;2019;MOTOCICLETA;8;12/2024;CON HERIDOS
SUZUKI;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
TVS;2017;MOTOCICLETA;9;12/2024;CON HERIDOS
TVS;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
HERO;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
TVS;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
SUZUKI;2020;MOTOCICLETA;6;12/2024;CON HERIDOS
